PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.14.2020 09:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;3290.67;;;174.78;10.00;0.00
04.14.2020 09:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;4216.00;;;1953.03;10.00;0.00
04.14.2020 09:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;2750.22;;;101.57;12.00;0.00
04.14.2020 09:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 09:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;6412.83;;;505.56;15.00;0.00
04.14.2020 09:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;13571.01;;;608.73;4.00;0.00
04.14.2020 10:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;4974.94;;;85.28;6.00;0.00
04.14.2020 10:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;20576.00;;;1184.00;520.00;4.00;0.00
04.14.2020 10:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;363.82;3.00;0.00
04.14.2020 10:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;1914.40;;;483.25;13.00;0.00
04.14.2020 10:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;5932.00;;;931.20;12.00;0.00
04.14.2020 10:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;4032.44;;;129.27;28.00;0.00
04.14.2020 10:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 10:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;2826.08;;;73.58;10.00;0.00
04.14.2020 11:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;10232.00;4785.03;104.75;1156.85;469.86;3.00;0.00
04.14.2020 11:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 11:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 11:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;420.00;10243.20;6090.21;102.38;245.56;31.34;14.00;0.00
04.14.2020 11:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;2076.18;;;71.94;6.00;0.00
04.14.2020 11:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;0.00;0.00
04.14.2020 11:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;;;703.33;;;49.73;4.00;0.00
04.14.2020 11:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;;;;;;;5.00;0.00
04.14.2020 08:00:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;4234.10;;;569.04;12.00;0.00
04.14.2020 08:15:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;10792.00;2353.00;;311.71;1073.07;7.00;0.00
04.14.2020 08:30:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;344.00;;;10.96;6.00;0.00
04.14.2020 08:45:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;1856.00;840.00;11.00;0.00
04.14.2020 09:00:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;;;;80.00;22.00;0.00
04.14.2020 09:15:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;16052.00;9650.67;;1904.00;111.65;10.00;0.00
04.14.2020 09:30:00;303847;303847;MacroBTS;303847;303847;HV-36284_00001 (id: 91);91;;;3801.70;;;976.65;4.00;0.00
