PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;249.29;1968.16;6869.83;27.43;99.61;119.01;33.00;0.00
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;1888.00;3410.00;25106.72;71.24;27.08;304.83;19.00;0.00
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;11618.24;;;131.54;60.00;0.00
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;225.66;1637.71;6677.31;188.54;724.66;413.77;65.00;0.00
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;303.00;5481.33;17474.53;63.27;318.29;1401.17;21.00;0.00
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;139.21;4008.64;12879.16;25.49;43.86;214.61;59.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;217.07;3825.53;1645.93;100.46;141.68;42.04;164.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;109.86;2793.75;7751.69;17.32;82.18;869.28;9.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;225.40;2984.60;11455.46;17.50;30.88;127.70;68.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;;;28164.96;;;580.83;41.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;230.96;2113.92;10824.64;98.80;101.48;171.41;19.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;158.40;1700.53;25627.36;69.89;25.86;1052.26;43.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;;;;333.38;6.00;0.00
04.22.2020 10:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;228.80;3147.45;12768.92;79.60;446.27;840.19;11.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;476.00;3738.22;3135.87;76.29;374.18;118.68;122.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;83.02;1096.11;8916.29;56.06;36.16;152.89;25.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;1888.00;6506.25;13367.65;141.95;752.54;1459.22;8.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;;7123.55;33429.66;34.35;561.69;739.66;34.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;269.51;;4500.54;242.36;307.36;209.05;10.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;359.89;2881.66;13445.45;31.42;31.21;179.20;72.00;0.00
04.22.2020 10:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;;;888.00;;;784.00;10.00;0.00
