PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;11.00;11.00;296.47;1881.63;14624.27;110.97;47.12;225.54;26346;21460;100.00;7;7;99.87;;;;;0;0;0
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;14.00;13.00;;5789.31;22993.45;62.04;116.86;548.45;6035;5549;100.00;2;2;100.00;;;;;0;0;0
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;11.00;9.00;442.04;1740.90;9224.33;107.36;54.11;640.06;6900;5469;100.00;3;3;99.63;;;;;0;0;0
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;12.00;11.00;331.24;1483.70;7340.99;47.31;51.44;144.44;23210;19450;100.00;5;5;97.79;;;;;0;0;0
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;2643.20;11560.00;;808.00;496.32;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 10:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;13.00;11.00;944.00;5645.00;15695.04;24.99;409.63;545.49;2655;2017;100.00;2;2;100.00;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;10.00;11.00;249.29;1968.16;6869.83;27.43;99.61;119.01;9849;9604;100.00;4;4;99.33;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;9.00;13.00;1888.00;3410.00;25106.72;71.24;27.08;304.83;5608;7900;;0;0;99.63;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;14.00;12.00;139.21;4008.64;12879.16;25.49;43.86;214.61;20308;15453;100.00;3;3;99.38;;;;;0;0;0
04.22.2020 10:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;11.00;11.00;303.00;5481.33;17474.53;63.27;318.29;1401.17;25194;24327;100.00;9;9;99.82;;;;;0;0;0
