PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.15.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 08:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;421.44;7037.98;;13.47;45.42;0;0;;0;0;97.14;;;;;0;0;0
04.15.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 08:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;5406.81;7247.42;;1920.00;1902.46;0;0;;0;0;100.00;;;;;0;0;0
04.15.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;1071.07;4974.15;;25.57;622.28;0;0;;0;0;100.00;;;;;0;0;0
04.15.2020 08:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 08:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;3409.74;8894.61;;19.45;150.94;0;0;;0;0;90.91;;;;;0;0;0
04.15.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 09:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;1054.84;2124.62;;26.43;162.94;0;0;;0;0;100.00;;;;;0;0;0
04.15.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 09:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;6462.67;2077.19;;149.79;125.15;0;0;;0;0;100.00;;;;;0;0;0
04.15.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 09:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;1743.27;4960.24;;18.86;134.97;0;0;;0;0;96.30;;;;;0;0;0
04.15.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 09:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;37.58;2194.67;;29.94;141.25;0;0;;0;0;97.14;;;;;0;0;0
04.15.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 10:00:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;533.94;21210.94;;20.04;325.47;0;0;;0;0;98.75;;;;;0;0;0
04.15.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;4.00;;765.98;17080.33;86.13;27.86;137.34;3;9;100.00;1;1;100.00;;;;100.00;13;1;1
04.15.2020 10:15:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;13343.11;;;666.68;0;0;;0;0;100.00;;;;;0;0;0
04.15.2020 10:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.15.2020 10:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;2014.99;1948.72;;21.44;60.71;0;0;;0;0;96.00;;;;;0;0;0
04.15.2020 10:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;721.74;1831.83;;12.11;236.07;0;0;;0;0;95.00;;;;;0;0;0
