PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.14.2020 11:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 11:30:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;933.02;2929.72;;9.86;62.80;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 11:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00001 (id: 91);91;0.00;0.00;;1332.60;2222.39;;17.61;31.41;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 11:45:00;303337;303337;MacroBTS;303337;303337;HV-31268_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 08:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 08:00:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;7758.40;2710.64;;271.06;130.13;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 08:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 08:15:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;2647.11;2622.36;;70.05;98.91;0;0;;0;0;94.59;;;;;0;0;0
04.14.2020 08:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
04.14.2020 08:30:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;;2594.51;;;209.75;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 08:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00001 (id: 91);91;0.00;0.00;;;5518.23;;;427.22;0;0;;0;0;100.00;;;;;0;0;0
04.14.2020 08:45:00;303509;303509;MacroBTS;303509;303509;HV-31227_00002 (id: 92);92;0.00;0.00;;;;;;;0;0;;0;0;;;;;;0;0;0
